,W/L,Str,Td,Sub,Pass,Weight class,Method,Round,Time,date,location,event,fighter_0,fighter_1
0,win,68  25,1  0,0  0,3  0,HW,KO/TKO  Punches,2,3:00,"May 16, 2020","Jacksonville, Florida, USA",UFC Fight Night: Overeem vs. Harris,Alistair Overeem,Walt Harris
1,win,84  90,1  0,0  0,1  0,WSW,S-DEC,3,5:00,"May 16, 2020","Jacksonville, Florida, USA",UFC Fight Night: Overeem vs. Harris,Claudia Gadelha,Angela Hill
2,win,79  80,1  0,0  0,0  0,FW,S-DEC,3,5:00,"May 16, 2020","Jacksonville, Florida, USA",UFC Fight Night: Overeem vs. Harris,Dan Ige,Edson Barboza
3,win,66  41,0  0,0  0,0  0,MW,U-DEC,3,5:00,"May 16, 2020","Jacksonville, Florida, USA",UFC Fight Night: Overeem vs. Harris,Krzysztof Jotko,Eryk Anders
4,win,101  92,0  2,0  0,0  1,FW,U-DEC,3,5:00,"May 16, 2020","Jacksonville, Florida, USA",UFC Fight Night: Overeem vs. Harris,Song Yadong,Marlon Vera
5,win,37  33,0  0,0  0,1  0,WW,KO/TKO  Punch,2,0:18,"May 16, 2020","Jacksonville, Florida, USA",UFC Fight Night: Overeem vs. Harris,Miguel Baeza,Matt Brown
6,win,14  0,0  0,0  0,0  0,MW,KO/TKO  Knees,1,0:39,"May 16, 2020","Jacksonville, Florida, USA",UFC Fight Night: Overeem vs. Harris,Kevin Holland,Anthony Hernandez
7,win,61  34,1  0,0  0,0  0,FW,U-DEC,3,5:00,"May 16, 2020","Jacksonville, Florida, USA",UFC Fight Night: Overeem vs. Harris,Giga Chikadze,Irwin Rivera
8,win,118  121,0  1,0  0,0  1,FW,U-DEC,3,5:00,"May 16, 2020","Jacksonville, Florida, USA",UFC Fight Night: Overeem vs. Harris,Nate Landwehr,Darren Elkins
9,win,6  5,0  1,2  0,0  0,WFLW,SUB  Armbar,1,3:36,"May 16, 2020","Jacksonville, Florida, USA",UFC Fight Night: Overeem vs. Harris,Cortney Casey,Mara Romero Borella
10,win,32  27,2  0,1  0,2  0,HW,SUB  Rear Naked Choke,2,2:05,"May 16, 2020","Jacksonville, Florida, USA",UFC Fight Night: Overeem vs. Harris,Rodrigo Nascimento,Don'Tale Mayes
11,win,138  86,1  1,0  0,5  0,LHW,KO/TKO  Punches,5,1:04,"May 13, 2020","Jacksonville, Florida, USA",UFC Fight Night: Smith vs. Teixeira,Glover Teixeira,Anthony Smith
12,win,56  42,1  0,0  0,0  0,HW,S-DEC,3,5:00,"May 13, 2020","Jacksonville, Florida, USA",UFC Fight Night: Smith vs. Teixeira,Ben Rothwell,Ovince Saint Preux
13,win,61  34,0  3,0  0,0  0,LW,KO/TKO  Punches,2,4:25,"May 13, 2020","Jacksonville, Florida, USA",UFC Fight Night: Smith vs. Teixeira,Drew Dober,Alexander Hernandez
14,win,67  47,7  0,0  0,5  0,BW,S-DEC,3,5:00,"May 13, 2020","Jacksonville, Florida, USA",UFC Fight Night: Smith vs. Teixeira,Ricky Simon,Ray Borg
15,win,50  41,0  0,0  0,0  0,HW,U-DEC,3,5:00,"May 13, 2020","Jacksonville, Florida, USA",UFC Fight Night: Smith vs. Teixeira,Andrei Arlovski,Philipe Lins
16,win,1  27,0  0,1  0,0  0,LW,SUB  Ankle Lock,2,0:25,"May 13, 2020","Jacksonville, Florida, USA",UFC Fight Night: Smith vs. Teixeira,Thiago Moises,Michael Johnson
17,win,85  44,2  0,0  0,5  0,WBW,U-DEC,3,5:00,"May 13, 2020","Jacksonville, Florida, USA",UFC Fight Night: Smith vs. Teixeira,Sijara Eubanks,Sarah Moras
18,win,63  50,0  0,0  0,0  0,LW,U-DEC,3,5:00,"May 13, 2020","Jacksonville, Florida, USA",UFC Fight Night: Smith vs. Teixeira,Omar Morales,Gabriel Benitez
19,win,29  62,0  0,0  0,0  0,FW,KO/TKO  Punch,2,3:40,"May 13, 2020","Jacksonville, Florida, USA",UFC Fight Night: Smith vs. Teixeira,Brian Kelleher,Hunter Azure
20,win,51  16,0  0,0  0,0  0,HW,KO/TKO  Elbow,2,0:49,"May 13, 2020","Jacksonville, Florida, USA",UFC Fight Night: Smith vs. Teixeira,Chase Sherman,Ike Villanueva
21,win,143  136,0  0,0  0,0  0,LW,KO/TKO  Punch,5,3:39,"May 09, 2020","Jacksonville, Florida, USA",UFC 249: Ferguson vs. Gaethje,Justin Gaethje,Tony Ferguson
22,win,53  33,1  0,0  0,0  0,BW,KO/TKO  Knee,2,4:58,"May 09, 2020","Jacksonville, Florida, USA",UFC 249: Ferguson vs. Gaethje,Henry Cejudo,Dominick Cruz
23,win,6  5,0  0,0  0,0  0,HW,KO/TKO  Punch,1,0:20,"May 09, 2020","Jacksonville, Florida, USA",UFC 249: Ferguson vs. Gaethje,Francis Ngannou,Jairzinho Rozenstruik
24,win,52  57,0  0,0  0,0  0,FW,KO/TKO  Elbow,2,2:49,"May 09, 2020","Jacksonville, Florida, USA",UFC 249: Ferguson vs. Gaethje,Calvin Kattar,Jeremy Stephens
25,win,55  24,0  0,0  0,0  0,HW,U-DEC,3,5:00,"May 09, 2020","Jacksonville, Florida, USA",UFC 249: Ferguson vs. Gaethje,Greg Hardy,Yorgan De Castro
26,win,63  62,0  2,0  0,0  1,WW,U-DEC,3,5:00,"May 09, 2020","Jacksonville, Florida, USA",UFC 249: Ferguson vs. Gaethje,Anthony Pettis,Donald Cerrone
27,win,94  53,0  3,0  1,0  6,HW,S-DEC,3,5:00,"May 09, 2020","Jacksonville, Florida, USA",UFC 249: Ferguson vs. Gaethje,Aleksei Oleinik,Fabricio Werdum
28,win,45  44,1  0,0  0,0  0,WSW,S-DEC,3,5:00,"May 09, 2020","Jacksonville, Florida, USA",UFC 249: Ferguson vs. Gaethje,Carla Esparza,Michelle Waterson
29,win,130  129,0  1,0  0,0  1,WW,KO/TKO  Punches,3,3:37,"May 09, 2020","Jacksonville, Florida, USA",UFC 249: Ferguson vs. Gaethje,Vicente Luque,Niko Price
30,win,40  5,3  0,5  0,14  0,FW,U-DEC,3,5:00,"May 09, 2020","Jacksonville, Florida, USA",UFC 249: Ferguson vs. Gaethje,Bryce Mitchell,Charles Rosa
31,win,51  57,2  0,1  0,0  0,LHW,S-DEC,3,5:00,"May 09, 2020","Jacksonville, Florida, USA",UFC 249: Ferguson vs. Gaethje,Ryan Spann,Sam Alvey
32,win,43  41,0  2,2  0,0  2,LW,SUB  Guillotine Choke,3,0:28,"March 14, 2020","Brasilia, Distrito Federal, Brazil",UFC Fight Night: Lee vs. Oliveira,Charles Oliveira,Kevin Lee
33,win,13  4,0  2,0  0,0  1,WW,KO/TKO  Punch,1,2:34,"March 14, 2020","Brasilia, Distrito Federal, Brazil",UFC Fight Night: Lee vs. Oliveira,Gilbert Burns,Demian Maia
34,win,1  1,1  0,1  0,1  0,LW,SUB  Rear Naked Choke,1,0:44,"March 14, 2020","Brasilia, Distrito Federal, Brazil",UFC Fight Night: Lee vs. Oliveira,Renato Moicano,Damir Hadzovic
35,win,45  37,3  0,0  0,4  2,LHW,U-DEC,3,5:00,"March 14, 2020","Brasilia, Distrito Federal, Brazil",UFC Fight Night: Lee vs. Oliveira,Nikita Krylov,Johnny Walker
36,win,55  67,0  0,0  0,0  0,LW,U-DEC,3,5:00,"March 14, 2020","Brasilia, Distrito Federal, Brazil",UFC Fight Night: Lee vs. Oliveira,Francisco Trinaldo,John Makdessi
37,win,33  15,0  1,0  1,1  3,FLW,U-DEC,3,5:00,"March 14, 2020","Brasilia, Distrito Federal, Brazil",UFC Fight Night: Lee vs. Oliveira,Brandon Moreno,Jussier Formiga
38,win,85  36,1  1,2  0,4  0,WSW,U-DEC,3,5:00,"March 14, 2020","Brasilia, Distrito Federal, Brazil",UFC Fight Night: Lee vs. Oliveira,Amanda Ribas,Randa Markos
39,win,62  57,2  0,0  0,0  0,WW,U-DEC,3,5:00,"March 14, 2020","Brasilia, Distrito Federal, Brazil",UFC Fight Night: Lee vs. Oliveira,Elizeu Zaleski dos Santos,Aleksei Kunchenko
40,win,139  88,2  0,0  0,1  0,WFLW,U-DEC,3,5:00,"March 14, 2020","Brasilia, Distrito Federal, Brazil",UFC Fight Night: Lee vs. Oliveira,Maryna Moroz,Mayra Bueno Silva
41,win,67  45,0  3,0  0,1  2,FLW,U-DEC,3,5:00,"March 14, 2020","Brasilia, Distrito Federal, Brazil",UFC Fight Night: Lee vs. Oliveira,David Dvorak,Bruno Silva
42,win,130  93,0  0,0  0,2  0,WBW,U-DEC,3,5:00,"March 14, 2020","Brasilia, Distrito Federal, Brazil",UFC Fight Night: Lee vs. Oliveira,Bea Malecki,Veronica Macedo
43,win,48  40,0  0,0  0,0  0,MW,U-DEC,5,5:00,"March 07, 2020","Las Vegas, Nevada, USA",UFC 248: Adesanya vs. Romero,Israel Adesanya,Yoel Romero
44,win,165  186,1  0,0  0,0  0,WSW,S-DEC,5,5:00,"March 07, 2020","Las Vegas, Nevada, USA",UFC 248: Adesanya vs. Romero,Weili Zhang,Joanna Jedrzejczyk
45,win,12  15,1  0,2  0,1  0,LW,KO/TKO  Punch,2,1:00,"March 07, 2020","Las Vegas, Nevada, USA",UFC 248: Adesanya vs. Romero,Beneil Dariush,Drakkar Klose
46,win,74  16,4  2,0  0,2  0,WW,U-DEC,3,5:00,"March 07, 2020","Las Vegas, Nevada, USA",UFC 248: Adesanya vs. Romero,Neil Magny,Jingliang Li
47,win,40  23,1  2,0  0,2  2,WW,S-DEC,3,5:00,"March 07, 2020","Las Vegas, Nevada, USA",UFC 248: Adesanya vs. Romero,Alex Oliveira,Max Griffin
48,win,18  0,0  0,0  0,0  0,BW,KO/TKO  Punches,1,2:02,"March 07, 2020","Las Vegas, Nevada, USA",UFC 248: Adesanya vs. Romero,Sean O'Malley,Jose Quinonez
49,win,15  41,8  0,0  0,3  0,LW,U-DEC,3,5:00,"March 07, 2020","Las Vegas, Nevada, USA",UFC 248: Adesanya vs. Romero,Mark Madsen,Austin Hubbard
50,win,5  5,2  0,1  0,2  0,MW,SUB  Arm Triangle,1,2:58,"March 07, 2020","Las Vegas, Nevada, USA",UFC 248: Adesanya vs. Romero,Rodolfo Vieira,Saparbeg Safarov
51,win,86  53,1  1,1  0,1  0,MW,SUB  Rear Naked Choke,3,2:13,"March 07, 2020","Las Vegas, Nevada, USA",UFC 248: Adesanya vs. Romero,Gerald Meerschaert,Deron Winn
52,win,38  54,0  2,0  0,0  1,FW,S-DEC,3,5:00,"March 07, 2020","Las Vegas, Nevada, USA",UFC 248: Adesanya vs. Romero,Giga Chikadze,Jamall Emmers
