,Description,Markov Chain Rating
0,Donald Cerrone,3.9479350771397284e+30
1,Jim Miller,3.664942709201979e+30
2,Demian Maia,3.236609954499265e+30
3,Ross Pearson,2.880601244503284e+30
4,Nate Marquardt,2.861582757914329e+30
5,Rafael Dos Anjos,2.807866031678949e+30
6,Diego Sanchez,2.740685511787298e+30
7,Charles Oliveira,2.662259552266756e+30
8,Joseph Benavidez,2.6540926352630696e+30
9,Glover Teixeira,2.59595245408066e+30
10,Ricardo Lamas,2.586093232202317e+30
11,Thiago Alves,2.5572183198094086e+30
12,Jeremy Stephens,2.4487447093145432e+30
13,Darren Elkins,2.4439727973294026e+30
14,Jimi Manuwa,2.442158699421017e+30
15,Andrei Arlovski,2.4317318499070173e+30
16,Ovince Saint Preux,2.4199035852462504e+30
17,Edson Barboza,2.4027349876199842e+30
18,Tim Boetsch,2.4002610767107742e+30
19,Jorge Masvidal,2.3925307657334974e+30
20,Anderson Silva,2.3613679539930157e+30
21,Nate Diaz,2.329445970960084e+30
22,Eryk Anders,2.3073814663762637e+30
23,Johny Hendricks,2.261370737343911e+30
24,Jon Jones,2.2610044377393387e+30
25,Jake Ellenberger,2.240971766550587e+30
26,Thiago Santos,2.2188895631593368e+30
27,Joe Lauzon,2.2147149465499284e+30
28,Anthony Pettis,2.214079688601908e+30
29,Clay Guida,2.1981112690237924e+30
30,Jan Blachowicz,2.1916028034233447e+30
31,Ben Saunders,2.1798993763663618e+30
32,Gleison Tibau,2.142942995778653e+30
33,Stefan Struve,2.1276903775973356e+30
34,Francisco Trinaldo,2.122854047128322e+30
35,Patrick Cote,2.112366220224368e+30
36,Frankie Edgar,2.1064457137761813e+30
37,Neil Magny,2.0831206632018259e+30
38,Jason Knight,2.077049450411945e+30
39,James Vick,2.062220491324553e+30
40,Cub Swanson,2.0609539740206724e+30
41,Jussier Formiga,2.0224802612278846e+30
42,Dustin Poirier,2.0148604961235906e+30
43,Robbie Lawler,2.0081238103516894e+30
44,Dan Henderson,2.0001760349383946e+30
45,Matt Brown,1.9884270726473459e+30
46,Urijah Faber,1.9790851093069357e+30
47,Michael Johnson,1.9508805630005082e+30
48,Beneil Dariush,1.9388447142011913e+30
49,Mike Perry,1.9264273645775448e+30
50,Jacare Souza,1.895039020503975e+30
51,Junior Dos Santos,1.8935834067520833e+30
52,Thales Leites,1.8929332486890558e+30
53,Wilson Reis,1.8584951649104527e+30
54,Ryan Bader,1.855412276851639e+30
55,Gunnar Nelson,1.8467697678386874e+30
56,Paul Felder,1.838143445358227e+30
57,Stipe Miocic,1.82741664926475e+30
58,Yancy Medeiros,1.8154598279240092e+30
59,Dennis Bermudez,1.8152854631691308e+30
60,BJ Penn,1.8124030960209684e+30
61,John Dodson,1.8079270848680167e+30
62,Vitor Belfort,1.8040365964215684e+30
63,Alex Oliveira,1.7976952640011764e+30
64,Alexander Gustafsson,1.782783548145303e+30
65,Rashad Evans,1.7770900704278398e+30
66,Benson Henderson,1.771106435452228e+30
67,Tony Ferguson,1.769339747336504e+30
68,Max Holloway,1.7636285480055392e+30
69,Evan Dunham,1.760069107673859e+30
70,Jose Aldo,1.7567096979881524e+30
71,Mike Pyle,1.7499998426119735e+30
72,Mauricio Rua,1.7484577617613656e+30
73,CB Dollaway,1.7418356573299977e+30
74,Lucie Pudilova,1.7356195683241322e+30
75,Rick Story,1.7329122426857068e+30
76,Michael Bisping,1.7296279095556023e+30
77,Chris Weidman,1.7295060900235507e+30
78,Lyoto Machida,1.72272659097677e+30
79,Anthony Johnson,1.717475190678293e+30
80,Gabriel Gonzaga,1.716103650113471e+30
81,Carlos Condit,1.7135861499742003e+30
82,Elias Theodorou,1.7025969552662624e+30
83,Drew Dober,1.701234162250411e+30
84,Kevin Lee,1.693842971029381e+30
85,Dan Hooker,1.686705132933432e+30
86,Frank Mir,1.6851855074189526e+30
87,Conor McGregor,1.6851589175509608e+30
88,Randy Couture,1.6810855909790875e+30
89,Sam Stout,1.6742440170369702e+30
90,Sam Alvey,1.66448981080189e+30
91,Joshua Burkman,1.6577259706823962e+30
92,Mark Hunt,1.6543377274007821e+30
93,Chad Mendes,1.6526655933887202e+30
94,Demetrious Johnson,1.647516490170078e+30
95,Derek Brunson,1.6467920752961532e+30
96,Roy Nelson,1.638914844835086e+30
97,Mark Munoz,1.6304055231325306e+30
98,Brad Tavares,1.615867905753273e+30
99,Gegard Mousasi,1.6140334348350626e+30
100,Cezar Ferreira,1.6124582987459165e+30
101,Rani Yahya,1.5957455631413383e+30
102,Rich Franklin,1.5881609412797728e+30
103,Al Iaquinta,1.5830397362882445e+30
104,Melvin Guillard,1.5829616344080683e+30
105,Jimmie Rivera,1.5806413544390678e+30
106,Josh Koscheck,1.5802131016803223e+30
107,Robert Whittaker,1.5709555383166267e+30
108,Derrick Lewis,1.5609632918275804e+30
109,Gian Villante,1.557392016767408e+30
110,Danny Castillo,1.5571269730090665e+30
111,Nik Lentz,1.5529857782908743e+30
112,Nikita Krylov,1.5488206443765606e+30
113,Kelvin Gastelum,1.541038908803986e+30
114,Rustam Khabilov,1.5386196154890604e+30
115,Ben Rothwell,1.5305612351770475e+30
116,Tim Means,1.5248776914362233e+30
117,John Howard,1.512813952024548e+30
118,Zak Cummings,1.5072525540035118e+30
119,Fabricio Werdum,1.5063344893340076e+30
120,Yushin Okami,1.5032110020663982e+30
121,Lorenz Larkin,1.5017464305570666e+30
122,Dong Hyun Kim,1.4898246001814878e+30
123,Erick Silva,1.4896515467548572e+30
124,Myles Jury,1.4805890349736352e+30
125,Gray Maynard,1.4787166131631388e+30
126,Aljamain Sterling,1.4638390363959022e+30
127,Michael Chiesa,1.4561347490315547e+30
128,Tito Ortiz,1.453095341808346e+30
129,Pedro Munhoz,1.4518397095361193e+30
130,Luke Rockhold,1.4450280350014136e+30
131,Olivier Aubin-Mercier,1.4416710498697345e+30
132,Stephen Thompson,1.4391730471982833e+30
133,Patrick Cummins,1.4375208519464056e+30
134,Chris Leben,1.4351523654550653e+30
135,Sergio Pettis,1.434359113721532e+30
136,Anthony Smith,1.434158392636977e+30
137,Takanori Gomi,1.4265878547827755e+30
138,Anthony Rocco Martin,1.4248170950965113e+30
139,Travis Browne,1.4246522034800913e+30
140,Sean Strickland,1.4223286782206395e+30
141,Daniel Cormier,1.4199245636519417e+30
142,Dennis Siver,1.416612244807211e+30
143,John Lineker,1.4064884761682933e+30
144,Brad Pickett,1.4021498396211618e+30
145,James Krause,1.3995873844331907e+30
146,Ed Herman,1.3987491679862694e+30
147,Henry Cejudo,1.3948508358305413e+30
148,Corey Anderson,1.3945224990497465e+30
149,Sergio Moraes,1.3859850731082708e+30
150,Desmond Green,1.38402175034602e+30
